Name,CID,SMILES,predicted_pIC50,predicted_IC50_nM
Congo red,11313,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],6.315105366180379,484.0549145491104
"(2Z,4E)-3-hydroxy-5-(4-hydroxy-3-methoxyphenyl)-1-[(2S,3S,8R)-3-(4-hydroxy-3-methoxyphenyl)-6-methyl-8-(6-methylhept-5-en-2-yl)-2-bicyclo[2.2.2]oct-5-enyl]penta-2,4-dien-1-one",102230691,CC1=CC2C(CC1C(C2C3=CC(=C(C=C3)O)OC)C(=O)C=C(C=CC4=CC(=C(C=C4)O)OC)O)C(C)CCC=C(C)C,6.308834931244128,491.09449826618226
"(2Z,4E)-3-hydroxy-5-(4-hydroxy-3-methoxyphenyl)-1-[(2R,3R,8R)-3-(4-hydroxy-3-methoxyphenyl)-6-methyl-8-(6-methylhept-5-en-2-yl)-2-bicyclo[2.2.2]oct-5-enyl]penta-2,4-dien-1-one",102230690,CC1=CC2C(CC1C(C2C3=CC(=C(C=C3)O)OC)C(=O)C=C(C=CC4=CC(=C(C=C4)O)OC)O)C(C)CCC=C(C)C,6.308834931244128,491.09449826618226
CID 6037,6037,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)N=C(N3)N,6.259568481423266,550.0871735582783
Npc215743,615367,CC1(CC(=CC23C14C2CC(C4)C3(C)C)C=O)C,6.226095364306905,594.1616756363285
"1-[(3R,6S)-6-hydroxy-6'-[(E)-2-(4-hydroxyphenyl)ethenyl]-3,4',4',7-tetramethylspiro[3,4,4a,5,6,8a-hexahydrochromene-2,2'-3H-pyran]-5'-yl]-3-(4-hydroxyphenyl)propan-1-one",102230685,CC1CC2CC(C(=CC2OC13CC(C(=C(O3)C=CC4=CC=C(C=C4)O)C(=O)CCC5=CC=C(C=C5)O)(C)C)C)O,6.207105928800868,620.717616482531
"(2Z,4E)-3-hydroxy-5-(4-hydroxy-3-methoxyphenyl)-1-[(2S,3S,7R)-3-(4-hydroxy-3-methoxyphenyl)-5-methyl-7-(6-methylhept-5-en-2-yl)-2-bicyclo[2.2.2]oct-5-enyl]penta-2,4-dien-1-one",102230687,CC1=CC2C(CC1C(C2C(=O)C=C(C=CC3=CC(=C(C=C3)O)OC)O)C4=CC(=C(C=C4)O)OC)C(C)CCC=C(C)C,6.199715328989194,631.3710594879054
"(2Z,4E)-3-hydroxy-5-(4-hydroxy-3-methoxyphenyl)-1-[(2R,3R,7R)-3-(4-hydroxy-3-methoxyphenyl)-5-methyl-7-(6-methylhept-5-en-2-yl)-2-bicyclo[2.2.2]oct-5-enyl]penta-2,4-dien-1-one",102230689,CC1=CC2C(CC1C(C2C(=O)C=C(C=CC3=CC(=C(C=C3)O)OC)O)C4=CC(=C(C=C4)O)OC)C(C)CCC=C(C)C,6.199715328989194,631.3710594879054
"(1E,6E)-4-[4,8-dimethyl-6-(2-methylprop-1-enyl)-2-bicyclo[3.3.1]non-3-enyl]-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione",102230692,CC1CC(C2CC1C(C=C2C)C(C(=O)C=CC3=CC(=C(C=C3)O)OC)C(=O)C=CC4=CC(=C(C=C4)O)OC)C=C(C)C,6.191421954294511,643.5437038313296
Labdadienedial,9796432,CC1(CCCC2(C1CCC(=C)C2CC=C(CC=O)C=O)C)C,6.173526265027745,670.6157283390631
"2-[2-(5,5,8a-trimethyl-2-methylidene-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl)ethylidene]butanedial",75094027,CC1(CCCC2(C1CCC(=C)C2CC=C(CC=O)C=O)C)C,6.173526265027745,670.6157283390631
"3-(4-hydroxy-3-methoxyphenyl)-1-[(3R)-6'-[(E)-2-(4-hydroxy-3-methoxyphenyl)ethenyl]-3,4',4',7-tetramethylspiro[3,4,4a,5,6,8a-hexahydrochromene-2,2'-3H-pyran]-5'-yl]propan-1-one",102230686,CC1CC2CCC(=CC2OC13CC(C(=C(O3)C=CC4=CC(=C(C=C4)O)OC)C(=O)CCC5=CC(=C(C=C5)O)OC)(C)C)C,6.163020990101365,687.0352337721605
Thiamine,1130,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,6.107652373891783,780.4545666050906
,5379611,CC1=CC=CC=C1N=NC2=CC(=C(C=C2)NN=C3C(=O)C=CC4=CC=CC=C43)C,6.104452967782507,786.2253313470511
,5876571,CC1=CC=CC=C1N=NC2=CC(=C(C=C2)NN=C3C(=O)C=CC4=CC=CC=C43)C,6.104452967782507,786.2253313470511
,6797604,CC1=CC=CC=C1N=NC2=CC(=C(C=C2)NN=C3C(=O)C=CC4=CC=CC=C43)C,6.104452967782507,786.2253313470511
"2-(4,7-Dimethyl-1,2,3,4,4a,5,6,8a-octahydronaphthalen-1-yl)prop-2-enoic acid",578305,CC1CCC(C2C1CCC(=C2)C)C(=C)C(=O)O,6.0360852786399555,920.2688487996428
"3,3'-((1,1'-Biphenyl)-4,4'-diylbis(2,1-diazenediyl))bis(4-amino-1-naphthalenesulfonic acid)",11314,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)O)N)S(=O)(=O)O,6.032395627804696,928.1205146888043
"4-[2,4-Dinitro-5-(2,4,6-trimethylphenoxy)anilino]benzonitrile",49777919,CC1=CC(=C(C(=C1)C)OC2=C(C=C(C(=C2)NC3=CC=C(C=C3)C#N)[N+](=O)[O-])[N+](=O)[O-])C,5.990637150221515,1021.7928274115069
"3-((6-O-Acetyl-beta-D-galactopyranosyl)oxy)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-1-benzopyrylium",122396785,CC(=O)OCC1C(C(C(C(O1)OC2=CC3=C(C=C(C=C3[O+]=C2C4=CC(=C(C=C4)O)O)O)O)O)O)O,5.983185373399551,1039.4763830762327
Turricolol E,5281861,CC(=CCCC(=CCCC(=CCC1=C(C=CC(=C1)O)O)C)CO)C,5.928352499832519,1179.3630042784703
2-Hydroxy-5-methylacetophenone,15068,CC1=CC(=C(C=C1)O)C(=O)C,5.864304543592166,1366.7700590058214
"[(E)-[(4aS,8aS)-2-formyl-5,5,8a-trimethyl-4a,6,7,8-tetrahydro-4H-naphthalen-1-ylidene]methyl] acetate",23425487,CC(=O)OC=C1C(=CCC2C1(CCCC2(C)C)C)C=O,5.848760200545323,1416.5757386015496
"(1E,4Z,6E)-5-hydroxy-7-[4-[4-hydroxy-3-methyl-6-(6-methylhept-5-en-2-yl)cyclohex-2-en-1-yl]oxyphenyl]-1-(4-hydroxyphenyl)hepta-1,4,6-trien-3-one",102230694,CC1=CC(C(CC1O)C(C)CCC=C(C)C)OC2=CC=C(C=C2)C=CC(=CC(=O)C=CC3=CC=C(C=C3)O)O,5.797523457487983,1593.9567842190238
Terpecurcumin H,71461465,CC1=CC(C(CC1O)C(C)CCC=C(C)C)C2=C(C(=CC(=C2)C=CC(=CC(=O)C=CC3=CC(=C(C=C3)O)OC)O)OC)O,5.782862995999595,1648.6824084050438
2-Pinanol,10128,CC1(C2CCC(C1C2)(C)O)C,5.7451006749289935,1798.4539625308457
trans-Pinan-2-ol,220076,CC1(C2CCC(C1C2)(C)O)C,5.7451006749289935,1798.4539625308457
"Acetic acid 1,7,7-trimethyl-bicyclo(2.2.1)hept-2-yl ester",6448,CC(=O)OC1CC2CCC1(C2(C)C)C,5.735811807645453,1837.3343409591357
Npc126240,44630108,CC(=O)OC1CC2CCC1(C2(C)C)C,5.735811807645453,1837.3343409591357
"(1S,2R,4S)-(-)-Bornyl acetate",442460,CC(=O)OC1CC2CCC1(C2(C)C)C,5.735811807645453,1837.3343409591357
"(1R,2S,4R)-(+)-Bornyl acetate",443131,CC(=O)OC1CC2CCC1(C2(C)C)C,5.735811807645453,1837.3343409591357
(+)-Borneol acetate,6950274,CC(=O)OC1CC2CCC1(C2(C)C)C,5.735811807645453,1837.3343409591357
"Bornyl acetate, (-)-",93009,CC(=O)OC1CC2CCC1(C2(C)C)C,5.735811807645453,1837.3343409591357
Terpecurcumin B,71459743,CC1=CC(C(CC1OC2=C(C=C(C=C2)C=CC(=CC(=O)C=CC3=CC(=C(C=C3)O)OC)O)OC)C(C)CCC=C(C)C)O,5.720970187701931,1901.2087845923563
5-Methyl-2-(6-methylhept-5-en-2-yl)phenol,122836,CC1=CC(=C(C=C1)C(C)CCC=C(C)C)O,5.713532111456204,1934.0508508495575
Curcuphenol,360253,CC1=CC(=C(C=C1)C(C)CCC=C(C)C)O,5.713532111456204,1934.0508508495575
(+)-Curcuphenol,156118,CC1=CC(=C(C=C1)C(C)CCC=C(C)C)O,5.713532111456204,1934.0508508495575
"6-[(2R,7S,8S)-7-[(2Z,4E)-3-hydroxy-5-(4-hydroxy-3-methoxyphenyl)penta-2,4-dienoyl]-8-(4-hydroxy-3-methoxyphenyl)-5-methyl-2-bicyclo[2.2.2]oct-5-enyl]-2-methylhept-2-en-4-one",102230688,CC1=CC2C(CC1C(C2C(=O)C=C(C=CC3=CC(=C(C=C3)O)OC)O)C4=CC(=C(C=C4)O)OC)C(C)CC(=O)C=C(C)C,5.708333964184958,1957.338938275513
Terpecurcumin C,71450688,CC(CCC=C(C)C)C1CC(C(C=C1)(C)O)OC2=C(C=C(C=C2)C=CC(=CC(=O)C=CC3=CC(=C(C=C3)O)OC)O)OC,5.6798069368227075,2090.2251222101504
Terpecurcumin E,71459742,CC(CCC=C(C)C)C1CC(C(C=C1)(C)OC2=C(C=C(C=C2)C=CC(=CC(=O)C=CC3=CC(=C(C=C3)O)OC)O)OC)O,5.663054002326139,2172.4310312378793
(-)-alpha-Curcumene,442360,CC1=CC=C(C=C1)C(C)CCC=C(C)C,5.65567826764449,2209.6410645663755
Curcumene,92139,CC1=CC=C(C=C1)C(C)CCC=C(C)C,5.65567826764449,2209.6410645663755
Terpecurcumin A,71457832,CC1=CC(C(CC1O)C(C)CCC=C(C)C)OC2=C(C=C(C=C2)C=CC(=CC(=O)C=CC3=CC(=C(C=C3)O)OC)O)OC,5.618372396977345,2407.839878978938
Cycloisolongifolene,563197,CC1(CCCC23C14C2CC(C4)C3(C)C)C,5.613367937821072,2435.746359831424
Paclitaxel,36314,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,5.605892113984727,2478.0375671692027
"(4S,5S)-(+)-Germacrone 4,5-epoxide",13922653,CC1=CCCC2(C(O2)CC(=C(C)C)C(=O)C1)C,5.60138633982603,2503.88085886496
"(1S,10S,E)-6,10-dimethyl-3-(propan-2-ylidene)-11-oxabicyclo[8.1.0]undec-6-en-4-one",11637239,CC1=CCCC2(C(O2)CC(=C(C)C)C(=O)C1)C,5.60138633982603,2503.88085886496
"(3R,6Z)-3,7,11-trimethyl-1,6,10-dodecatrien-3-ol",12227246,CC(=CCCC(=CCCC(C)(C=C)O)C)C,5.591825803865786,2559.6123451861063
"(3R,6E)-Nerolidol",11241545,CC(=CCCC(=CCCC(C)(C=C)O)C)C,5.591825803865786,2559.6123451861063
"1,6,10-Dodecatrien-3-ol, 3,7,11-trimethyl-, [S-(Z)]-",5320128,CC(=CCCC(=CCCC(C)(C=C)O)C)C,5.591825803865786,2559.6123451861063
Nerolidol,5284507,CC(=CCCC(=CCCC(C)(C=C)O)C)C,5.591825803865786,2559.6123451861063
"(3S,6E)-Nerolidol",5281525,CC(=CCCC(=CCCC(C)(C=C)O)C)C,5.591825803865786,2559.6123451861063
"3,7,11-Trimethyldodeca-1,6,10-trien-3-ol",8888,CC(=CCCC(=CCCC(C)(C=C)O)C)C,5.591825803865786,2559.6123451861063
Peruviol,5356544,CC(=CCCC(=CCCC(C)(C=C)O)C)C,5.591825803865786,2559.6123451861063
Zedoarondiol,24834047,CC(=C1CC2C(CCC2(C)O)C(CC1=O)(C)O)C,5.570683831934157,2687.3000985965236
Isozedoarondiol,14632998,CC(=C1CC2C(CCC2(C)O)C(CC1=O)(C)O)C,5.570683831934157,2687.3000985965236
Npc239531,14632997,CC(=C1CC2C(CCC2(C)O)C(CC1=O)(C)O)C,5.570683831934157,2687.3000985965236
ent-Isozedoaronediol,25754115,CC(=C1CC2C(CCC2(C)O)C(CC1=O)(C)O)C,5.570683831934157,2687.3000985965236
"3,7-Dimethylocta-2,6-dienyl acetate",7780,CC(=CCCC(=CCOC(=O)C)C)C,5.56834492570668,2701.8116767444244
Neryl acetate,1549025,CC(=CCCC(=CCOC(=O)C)C)C,5.56834492570668,2701.8116767444244
Geranyl Acetate,1549026,CC(=CCCC(=CCOC(=O)C)C)C,5.56834492570668,2701.8116767444244
