SMILES,Name,pIC50,predicted_pIC50
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)c(F)c2F)CC1,CHEMBL3084943,7.619788758288394,7.3613322031572
O=c1c([N+](=O)[O-])c(NCCCO)nc2scnn12,CHEMBL4435578,4.0,3.9492940629413438
O=C([C@@H]1C[C@@H](N2CCN(c3ncccn3)CC2)CN1)N1CCC(F)(F)C1,CHEMBL472995,6.471083299722345,7.681426748141822
COc1ccc(-c2cc(CN)nc(C)c2C(N)=O)cc1,CHEMBL1688518,4.301029995663981,4.7925286048712055
N#C[C@@H]1C[C@H](C(F)(F)F)CN1C(=O)CNC(=O)c1cccc2ccccc12,CHEMBL2022533,4.0,4.304766760898223
N[C@@H](CC(=O)N1CCc2c(C3CC3)n[nH]c2C1)Cc1cc(F)ccc1F,CHEMBL425905,6.795880017344075,7.012244911045146
O=C([C@@H]1C[C@H](N2CCN(c3cnccn3)CC2)CN1)N1CCC(F)(F)C1,CHEMBL474409,8.2518119729938,8.09872723475476
N#C[C@@H]1CCCN1C(=O)COc1cccc2ccccc12,CHEMBL2385287,4.0,5.00187520297152
N[C@H]1C[C@@H](N2Cc3cn(S(=O)(=O)C4CC4)nc3C2)CNC1c1cc(F)c(F)cc1F,CHEMBL3694422,9.154901959985745,8.326197606027252
NCC1(c2ccccc2)CCCC1,CHEMBL382127,4.425788692488729,4.830641752409075
N[C@H]1C[C@@H](N2Cc3ccc(S(N)(=O)=O)cc3C2)CO[C@@H]1c1cc(F)ccc1F,CHEMBL5763347,8.42021640338319,8.193210351309999
CC(C)(C)CC(C)(C)NCC(=O)N1CCC[C@H]1C#N,CHEMBL94630,6.910094888560602,6.918660613241515
COC(=O)C1(O)CC(O)C(O)C(OC(=O)/C=C/c2ccc(O)c(O)c2)C1,CHEMBL2048503,4.382999658879101,5.251173221187303
CCN(CC#N)C(=O)[C@@H]1C[C@H](C(=O)N(C)C)[C@H](C)N1,CHEMBL407296,7.619788758288394,7.139251207233574
NCC[C@H](N)C(=O)N1CC[C@H]2CCC[C@H]21,CHEMBL397057,4.481486060122113,6.319823856334562
N#C[C@@H]1CC(F)(F)CN1C(=O)CNC(=O)c1ccnc2ccc(/C=C/c3ccccn3)cc12,CHEMBL6020708,6.0,5.675189156933942
Nc1nc(Cl)c2nc[nH]c2n1,CHEMBL226396,8.301029995663981,5.170402632005692
COc1cc(O)c(Cl)cc1/C=C/C(=O)c1ccc(O)c(O)c1,CHEMBL5404677,5.052566278112949,4.707055360341913
O=C([C@@H]1CN[C@H](C(=O)N2CCCC2)C1)N1Cc2ccc(C(F)(F)F)cc2C1,CHEMBL210718,7.136677139879544,6.6002388829647884
N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H](N)Cc1csc2ccccc12,CHEMBL3127985,7.301029995663981,7.783149507175169
O=C([C@@H]1CCCN1)N1CCC[C@H]1B(O)O,CHEMBL63895,7.213592555709306,6.625963026697422
NCCCC[C@H](N)C(=O)N1CCC[C@H]1B(O)O,CHEMBL63726,7.264796563365826,6.981967807771738
N#C[C@@H]1CCCN1C(=O)CNCCNc1ccc(C(F)(F)F)cn1,CHEMBL330717,7.080921907623926,7.206158569358573
O=C([C@@H]1CCCN1)N1CCSC1,CHEMBL224435,6.261291762698017,5.493630729402089
COc1cc(O)c(C(=O)/C=C/c2ccc(O)cc2)c(OC)c1,CHEMBL251958,4.480040819247932,5.109587864187915
COc1ccc(-c2ccc3nccc(C(=O)NCC(=O)N4CC(F)(F)C[C@H]4C#N)c3c2)cc1,CHEMBL5857344,5.259637310505756,5.368993158021986
N[C@@H](CC(=O)N1[C@H](CNC(=O)c2ccccc2)C[C@@H]2CCCC[C@@H]21)Cc1cc(F)c(F)cc1F,CHEMBL3357779,6.214670164989233,6.408940713548366
N[C@H]1C[C@@H](n2ccc(N3CC[C@](O)(C(=O)NCc4cc(F)cc(Cl)c4)C3=O)n2)CO[C@@H]1c1cc(F)ccc1F,CHEMBL6054858,8.46470587995723,8.131813368312152
CN(C)C(=O)[C@@H](C1CCC(NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1)[C@H](N)C(=O)N1CC[C@H](F)C1.Cl,CHEMBL397854,6.168243764792422,6.722797930708382
CC(C)c1cccc(C(C)C)c1N1C(=O)c2cccc(O)c2C1=O,CHEMBL88474,4.360513510731414,4.039631892511833
N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1cccc(C(F)(F)F)c1,CHEMBL3093901,6.679853713888946,7.4965472433261775
Cc1csc2c(=O)n(Cc3ccccc3C#N)c(N3CCC[C@@H](N)C3)nc12,CHEMBL1651767,8.76447155309245,7.710725069187085
N#Cc1cc(F)cc(N2C[C@@H]3[C@H](C2)[C@H]3NCC(=O)N2C[C@@H](F)C[C@H]2C#N)c1,CHEMBL480942,6.928117992693874,6.999366369819116
COc1cc(O)ccc1CCC(c1ccc(O)cc1)c1c(O)cc(O)cc1/C=C/c1ccc(O)cc1,CHEMBL254440,4.384049948343599,5.22463716868278
N#C[C@@H]1C[C@H](F)CN1C(=O)CNC1CC1,CHEMBL470330,7.481486060122112,7.7189876891120095
N#C[C@@H]1CC(F)(F)CN1C(=O)CNC(=O)c1csc(Cc2ccccc2Br)n1,CHEMBL4751873,6.698970004336019,4.876928740897684
Cn1c(N)c(-c2ccccc2)c2cc(Cl)ccc2c1=O,CHEMBL1812730,4.0,5.003796284545159
CNC(=O)c1cccc(-c2ccc3nccc(C(=O)NCC(=O)N4CC(F)(F)C[C@H]4C#N)c3c2)c1,CHEMBL6002644,6.0,5.810275159572389
N[C@@H](C(=O)N1CCSC1)[C@H]1CC[C@@H](OC(=O)Nc2cccc(F)c2)C1,CHEMBL172624,5.920818753952375,6.923838271823648
N[C@@H](CC(=O)N1CCCNC(=O)[C@H]1Cc1ccccc1)Cc1cc(F)c(F)cc1F,CHEMBL386380,9.040958607678906,7.878087030832432
CC(C)(CC(=O)N1CCSC1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,CHEMBL1085580,7.568636235841012,7.858158733385473
N[C@H]1Cn2c(nc3cccnc32)C[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,CHEMBL560926,6.482804102050025,7.690143959255926
N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H](N)Cc1cc(F)c(F)cc1F,CHEMBL3093914,7.769551078621726,7.897770914993732
C[C@@H]1N[C@H](C(=O)N2CCC[C@H]2C#N)C[C@@H]1C(=O)N1CCCC1,CHEMBL393957,8.187086643357144,8.155413028158508
CN(C)C(=O)[C@@H](c1ccc(-c2cccc(C#N)c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,CHEMBL190269,7.366531544420413,7.76675621734255
Cc1nc2c(s1)CC([C@H](N)C(=O)N1CC[C@H](F)C1)CC2,CHEMBL496131,7.366531544420413,6.811686904979208
CS(=O)(=O)c1cccc(C(=O)NC[C@@H]2CCCN2C(=O)C[C@H](N)Cc2cccc(Cl)c2)c1,CHEMBL564249,9.42021640338319,8.162101151053152
CC1=C(CC(=O)N2Cc3cn(S(C)(=O)=O)nc3C2)C(C)NC(=O)N1,CHEMBL6170772,6.025949097207123,4.916783096852364
N[C@H]1C[C@@H](N2CCn3c(C(F)(F)F)cnc3C2)CCC1c1cc(F)c(F)cc1F,CHEMBL234635,7.67778070526608,7.54744765488476
C[C@H]1N[C@H](C(=O)N2CCC[C@H]2C#N)C[C@H]1C(=O)N(C)C,CHEMBL409010,6.958607314841775,7.797047235703071
CN([C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1)S(=O)(=O)c1ccc(OC(F)(F)F)cc1,CHEMBL1682980,6.3979400086720375,6.540583994670539
N[C@@H](CC(=O)N1CCN(Cc2ccc(I)cc2)C(=O)C1)Cc1cc(F)c(F)cc1F,CHEMBL1779701,7.511449283499555,7.519254184590781
N#Cc1ccccc1N1CCN(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)CC1,CHEMBL2069834,7.297569463554475,6.708468795915408
Cc1cc(-n2cncn2)ccc1CN1C[C@H](N)[C@H](C(=O)C2CCC[C@H]2C#N)C1,CHEMBL250620,8.42021640338319,8.421754088496673
N#C[C@@H]1CCCN1C(=O)CNCC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3,CHEMBL316832,6.223298816011589,6.961442672022622
Cn1c(=O)n(Cc2ccc(Cl)cc2C#N)c2c(N3CCC[C@@H](N)C3)ccnc21,CHEMBL3329638,4.795880017344075,5.171175762996018
CC(=O)OC[C@@H]1C[C@@H]2CCCC[C@@H]2N1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,CHEMBL3357769,7.154901959985743,6.7796401565182425
CC(C)[C@H](N)C(=O)N1CCCC1,CHEMBL383705,5.370794248595695,5.182413818031529
Cn1cnc2c(N3C[C@H](c4ccccc4)[C@@H](N)C3)ncnc21,CHEMBL238201,5.522878745280337,6.390862197787555
N[C@H]1CN(c2ncnc(N3CCC(F)(F)C3)n2)C[C@@H]1N1CCCCC1=O,CHEMBL1683569,7.431798275933005,7.369074454287304
COC(=O)c1cn([C@@H]2CN[C@H](C(=O)N3CCC(F)(F)C3)C2)nn1,CHEMBL4241199,6.142667503568731,6.9111912842661285
C[C@@H](N)C(=O)N1CCC[C@H]1B(O)O,CHEMBL196120,6.150823807846739,7.2061362286895365
N[C@H](C(=O)N1CCCC1)[C@@H]1CC[C@@H](NS(=O)(=O)c2ccc(S(N)(=O)=O)cc2)C1,CHEMBL169179,7.337242168318426,6.866008319898608
NC(=O)c1ccc(OCC2(NCC(=O)c3ccsc3)CCCC2)cc1,CHEMBL541664,8.301029995663981,5.920084105158752
N[C@@H](CCCCNC(=O)OCc1ccccc1)C(=O)N1CCCC1,CHEMBL459642,4.806875401645539,4.514067691159688
O=C([C@@H]1CCCN1)N1CCc2ccccc2C1,CHEMBL179996,4.0,4.9535820192516535
