SMILES,Name,pIC50
COc1ccccc1-c1nc(N)c(CN)c(-c2ccc(Cl)cc2Cl)n1,CHEMBL34779,6.455931955649724
N[C@@H](CC(=O)N1CCCN(C(c2ccc(F)cc2)c2ccc(F)cc2)CC1)C(=O)N1Cc2ccccc2C1.O=C(O)C(F)(F)F,CHEMBL1814745,4.0
N[C@H](Cc1cc(F)ccc1F)[C@H]1CC[C@H](N(CCCC(F)(F)F)Cc2ccccc2)CC1,CHEMBL1683128,6.161150909262744
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2cccc(C(=O)N3CCC[C@@H]3C(=O)OC)c2)c1=O,CHEMBL4867117,7.322393047279506
CC(C)[C@H](Oc1ccc(NC(=O)C2CC=NN2C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)cc1)C(=O)O.Cl,CHEMBL488714,5.568636235841012
COc1ccc(-c2cc(C(=O)N3CCCC3)c(CN)c(C)n2)cc1,CHEMBL1688527,4.301029995663981
Clc1ccc(Nc2cc(N3CCNCC3)nc3ccnn23)c(Cl)c1,CHEMBL4765147,6.327902142064282
O=C([C@@H]1C[C@H](O)CN1)N1C[C@H](O)C[C@H]1B(O)O,CHEMBL2063038,7.795880017344075
N#Cc1ccc(N2CCOCC2)cc1Cn1c(N2CCC[C@@H](N)C2)nc2cc[nH]c2c1=O,CHEMBL4165788,7.0
CN1CC2CN(C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F)CCN2C1=O.O=C(O)/C=C/C(=O)O,CHEMBL1276619,5.906578314837764
Cn1cnc2c(C#N)c(N3CCNCC3)n(Cc3ccccc3)c2c1=O,CHEMBL1951417,5.6777807052660805
COc1cc2cc(Oc3ccc4ccc(=O)oc4c3)c(=O)oc2cc1O,CHEMBL508494,4.059981844992337
CN(C)C(=O)[C@@H]([C@H]1CC[C@H](c2cccc3ncnn32)CC1)[C@H](N)C(=O)N1CCC(F)(F)C1,CHEMBL237997,8.186363639311594
COc1ccc2ccc3c(c2c1)CC(N)C(c1ccc(F)cc1)O3,CHEMBL5814595,6.096910013008056
C[C@H](COc1ccc(C(N)=O)cc1)NCC(=O)c1ccsc1,CHEMBL553006,6.468521082957745
