CID,Name
126,4-Hydroxybenzaldehyde
135,4-Hydroxybenzoic Acid
206,Hexose
239,Beta-Alanine
240,Benzaldehyde
241,Benzene
247,Betaine
305,Choline
322,4-Coumaric acid
323,Coumarin
332,4-Vinylguaiacol
379,Octanoic Acid
709,3-(4-Hydroxy-3-Methoxyphenyl)Prop-2-Enoic Acid
892,An inositol
938,Nicotinic Acid
985,Palmitic Acid
996,Phenol
1054,Pyridoxine
1110,Succinic Acid
1115,Hex-2-ulofuranosyl hexopyranoside
1130,Thiamine
1140,Toluene
1183,Vanillin
2537,Camphor
2758,"1,8-Cineole"
2889,"1,7-Bis(4-hydroxy-3-methoxyphenyl)-1,6-heptadiene-3,5-dione"
2969,Decanoic Acid
3314,Eugenol
3327,a Farnesol
3893,Lauric Acid
4668,9-Hexadecenoic acid
5281,Stearic Acid
5725,"2,6,9,9-Tetramethylcycloundeca-2,6,10-trien-1-one"
5988,Sucrose
5991,Ethinylestradiol
6037,CID 6037
6448,"Acetic acid 1,7,7-trimethyl-bicyclo(2.2.1)hept-2-yl ester"
6549,Linalool
6616,Camphene
6654,(+-)-alpha-Pinene
7150,Methyl Benzoate
7361,Furfuryl Alcohol
7439,"Carvone, (+-)-"
7460,alpha-PHELLANDRENE
7461,Gamma-Terpinene
7462,Alpha-Terpinene
7463,P-Cymene
7500,Ethylbenzene
7780,"3,7-Dimethylocta-2,6-dienyl acetate"
7793,"Beta-citronellol, (S)-"
7794,Citronellal
7892,2-Methylpentane
8078,Cyclohexane
8129,Heptanol
8163,2-Undecanone
8175,Decanal
8215,Docosanoic Acid
8468,Vanillic Acid
8842,Citronellol
8843,"3,7-Dimethylocta-2,6-Dienal"
8888,"3,7,11-Trimethyldodeca-1,6,10-trien-3-ol"
9017,Citronellyl Acetate
9250,Cyclobutane
9253,Cyclopentane
10049,Npc189036
10050,"Camphor, (1S)-"
10123,"2-Isopropenyl-4a,8-dimethyl-1,2,3,4,4a,5,6,8a-octahydronaphthalene"
10128,2-Pinanol
10251,Flavanone
10353,p-MENTHAN-8-OL
10364,Carvacrol
10403,Cyclooctanone
10407,"7,11-Dimethyl-3-methylene-1,6,10-dodecatriene"
10465,Heptadecanoic Acid
10467,Eicosanoic Acid
10492,"(1R,2S,4S)-1,7,7-trimethylbicyclo(2.2.1)heptan-2-ol"
10534,"Norbornane, 2-methyl-3-methylene-2-(4-methyl-3-pentenyl)-"
10586,"alpha,4-Dimethyl-alpha-(4-methyl-3-penten-1-yl)-3-cyclohexene-1-methanol"
10695,"1,2,3,5-Tetramethylbenzene"
10817,"p,alpha-DIMETHYLBENZYL ALCOHOL"
11005,Myristic Acid
11142,Beta-Phellandrene
11197,Tetracosanoic Acid
11230,Terpinen-4-ol
11313,Congo red
11314,"3,3'-((1,1'-Biphenyl)-4,4'-diylbis(2,1-diazenediyl))bis(4-amino-1-naphthalenesulfonic acid)"
11339,Docusate
11463,Terpinolene
12367,2-Nonanol
12741,2-Decanone
13849,Pentadecanoic Acid
14145,Dichlofluanid
14257,Undecane
14296,Tetramethylpyrazine
14340,Dihydroferulic Acid
14350,"4,12,12-Trimethyl-9-methylene-5-oxatricyclo(8.2.0.04,6)dodecane"
14529,p-Cymen-8-ol
14896,Beta-Pinene
14985,Vitamin E
15068,2-Hydroxy-5-methylacetophenone
15910,Chlorothalonil
16724,"Carvone, (+)-"
17085,Tricosanoic Acid
17100,Alpha-Terpineol
17868,alpha-Thujene
18818,Sabinene
19725,"1,3-Dimethyl-8-(1-methylethyl)tricyclo(4.4.0.02,7)dec-3-ene"
22311,1-Methyl-4-Prop-1-En-2-Ylcyclohexene
23204,"2,6,6,9-Tetramethylcycloundeca-1,4,8-triene"
23953,Silane
26049,3-Carene
26318,"4,11,11-Trimethyl-8-methylenebicyclo(7.2.0)undec-4-ene"
26479,"Carbamic acid, methyl-, 3-(dimethylamino)-p-tolyl ester"
27208,4-Methyl-1-(6-methylhept-5-en-2-yl)cyclohex-3-en-1-ol
29025,"4,6,6-Trimethylbicyclo(3.1.1)hept-3-en-2-one"
31138,2-Methyl-2-hepten-4-one
31253,Myrcene
31263,Propionic anhydride
36314,Paclitaxel
41520,"3,4,5-Trimethyl-2-cyclopenten-1-one"
61060,Npc152989
61126,Verbenol
61130,Myrtenal
61262,"(6,6-Dimethylbicyclo(3.1.1)hept-2-en-2-yl)methyl acetate"
61416,Citronellyl valerate
61990,3-Heptyldihydro-5-methyl-2(3H)-furanone
62346,gamma-Bisabolene
62367,2-Methyl-5-(1-methylethyl)bicyclo(3.1.0)hexan-2-ol
64685,Borneol
64689,Beta-D-Glucose
65724,"Verbenone, (A+-)-"
66308,D-Arabinose
67179,"Linalool, (+)-"
68128,(R)-beta-bisabolene
68346,Artemisia ketone
74201,2-Methoxypyridine
75427,"6-Octenal, 3,7-dimethyl-, (3R)-"
79035,Tricyclene
82227,"alpha-Pinene, (+)-"
86608,alpha-Bergamotene
