id,Data_Source,Compound,Source_Chemical_ID,Source_Chemical,Source_Chemical_URL,Source_Kind,Source_ID,Source,Source_URL,Source_Part,Source_Organism_ID,Source_Organism,Source_Organism_URL,Taxonomy,Evidence,Evidence_URLs,Evidence_PMIDs,Evidence_DOIs,refchemids,refsids,pmcids,pclids,References,Compound_CID,Taxonomy_ID
,LOTUS - the natural products occurrence database,4-Hydroxybenzaldehyde,Q1953888,4-Hydroxybenzaldehyde,https://www.wikidata.org/wiki/Q1953888,Natural Product,,,,,Q42562,Curcuma longa,https://www.wikidata.org/wiki/Q42562,Curcuma longa (turmeric),DOI:10.1080/01483918808067200,https://doi.org/10.1080/01483918808067200,,10.1080/01483918808067200,99272,500742690,,726610682,"Khurana A, Ho C. High Performance Liquid Chromatographic Analysis of Curcuminoids and Their Photo-oxidative Decomposition Compounds in Curcuma Longa L. Journal of Liquid Chromatography. 1988 Sep;11(11):2295–304. doi: 10.1080/01483918808067200.",126,136217
,LOTUS - the natural products occurrence database,4-Hydroxybenzoic Acid,Q229970,4-Oxoniobenzoate,https://www.wikidata.org/wiki/Q229970,Natural Product,,,,,Q42562,Curcuma longa,https://www.wikidata.org/wiki/Q42562,Curcuma longa (turmeric),DOI:10.1002/BMC.1207,https://doi.org/10.1002/BMC.1207,,10.1002/BMC.1207,,,,4063217,"Herebian D, Choi J, Abd El-Aty AM, Shim J, Spiteller M. Metabolite analysis in <i>Curcuma domestica</i> using various GC-MS and LC-MS separation and detection techniques. Biomedical Chromatography. 2009 Apr 08;23(9):951–65. doi: 10.1002/bmc.1207.",135,136217
,Natural Product Activity and Species Source (NPASS),Hexose,NPC295644,NPC295644,https://bidd.group/NPASS/compound.php?compoundID=NPC295644,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,206,136217
,LOTUS - the natural products occurrence database,Beta-Alanine,Q310919,beta-Alanine,https://www.wikidata.org/wiki/Q310919,Natural Product,,,,,Q42562,Curcuma longa,https://www.wikidata.org/wiki/Q42562,Curcuma longa (turmeric),DOI:10.1002/BMC.1207,https://doi.org/10.1002/BMC.1207,,10.1002/BMC.1207,567109|567109,505562838|505562838,,4063217,"Herebian D, Choi J, Abd El-Aty AM, Shim J, Spiteller M. Metabolite analysis in <i>Curcuma domestica</i> using various GC-MS and LC-MS separation and detection techniques. Biomedical Chromatography. 2009 Apr 08;23(9):951–65. doi: 10.1002/bmc.1207.",239,136217
,Natural Product Activity and Species Source (NPASS),Benzaldehyde,NPC78500,Benzaldehyde,https://bidd.group/NPASS/compound.php?compoundID=NPC78500,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,6618,481107958,,,,240,136217
,Natural Product Activity and Species Source (NPASS),Benzaldehyde,NPC78500,Benzaldehyde,https://bidd.group/NPASS/compound.php?compoundID=NPC78500,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,6618,481107958,,,,240,136217
,Natural Product Activity and Species Source (NPASS),Benzene,NPC11150,Benzene,https://bidd.group/NPASS/compound.php?compoundID=NPC11150,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,6619,481107959,,,,241,136217
,Natural Product Activity and Species Source (NPASS),Betaine,NPC59650,Glycinebetaine,https://bidd.group/NPASS/compound.php?compoundID=NPC59650,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,247,136217
,Natural Product Activity and Species Source (NPASS),Betaine,NPC59650,Glycinebetaine,https://bidd.group/NPASS/compound.php?compoundID=NPC59650,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,247,136217
,Natural Product Activity and Species Source (NPASS),Choline,NPC136014,Choline,https://bidd.group/NPASS/compound.php?compoundID=NPC136014,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,5679,481107019,,,,305,136217
,Natural Product Activity and Species Source (NPASS),Choline,NPC136014,Choline,https://bidd.group/NPASS/compound.php?compoundID=NPC136014,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,5679,481107019,,,,305,136217
,LOTUS - the natural products occurrence database,4-Coumaric acid,Q27104329,"2-Propenoic acid, 3-(4-hydroxyphenyl)-, (2Z)-",https://www.wikidata.org/wiki/Q27104329,Natural Product,,,,,Q42562,Curcuma longa,https://www.wikidata.org/wiki/Q42562,Curcuma longa (turmeric),DOI:10.1002/BMC.1207,https://doi.org/10.1002/BMC.1207,,10.1002/BMC.1207,,,,4063217,"Herebian D, Choi J, Abd El-Aty AM, Shim J, Spiteller M. Metabolite analysis in <i>Curcuma domestica</i> using various GC-MS and LC-MS separation and detection techniques. Biomedical Chromatography. 2009 Apr 08;23(9):951–65. doi: 10.1002/bmc.1207.",322,136217
,LOTUS - the natural products occurrence database,Coumarin,Q111812,Coumarin,https://www.wikidata.org/wiki/Q111812,Natural Product,,,,,Q42562,Curcuma longa,https://www.wikidata.org/wiki/Q42562,Curcuma longa (turmeric),DOI:10.1016/0021-9673(96)00103-3,https://doi.org/10.1016/0021-9673(96)00103-3,,10.1016/0021-9673(96)00103-3,5706,481107046,,721480478,"Hiserodt R, Hartman TG, Ho C, Rosen RT. Characterization of powdered turmeric by liquid chromatography-mass spectrometry and gas chromatography-mass spectrometry. Journal of Chromatography A. 1996 Jul;740(1):51–63. doi: 10.1016/0021-9673(96)00103-3.",323,136217
,Natural Product Activity and Species Source (NPASS),4-Vinylguaiacol,NPC246358,4-Ethenyl-2-Methoxyphenol,https://bidd.group/NPASS/compound.php?compoundID=NPC246358,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,25843,482043835,,,,332,136217
,Natural Product Activity and Species Source (NPASS),Octanoic Acid,NPC301696,Octanoic Acid,https://bidd.group/NPASS/compound.php?compoundID=NPC301696,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,57810|57810,483928096|483928096,,,,379,136217
,Natural Product Activity and Species Source (NPASS),Octanoic Acid,NPC301696,Octanoic Acid,https://bidd.group/NPASS/compound.php?compoundID=NPC301696,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,57810|57810,483928096|483928096,,,,379,136217
,LOTUS - the natural products occurrence database,3-(4-Hydroxy-3-Methoxyphenyl)Prop-2-Enoic Acid,Q51617501,3-(4-Hydroxy-3-methoxyphenyl)prop-2-enoic acid,https://www.wikidata.org/wiki/Q51617501,Natural Product,,,,,Q42562,Curcuma longa,https://www.wikidata.org/wiki/Q42562,Curcuma longa (turmeric),DOI:10.1002/BMC.1207,https://doi.org/10.1002/BMC.1207,,10.1002/BMC.1207,1066861,518158208,,4063217,"Herebian D, Choi J, Abd El-Aty AM, Shim J, Spiteller M. Metabolite analysis in <i>Curcuma domestica</i> using various GC-MS and LC-MS separation and detection techniques. Biomedical Chromatography. 2009 Apr 08;23(9):951–65. doi: 10.1002/bmc.1207.",709,136217
,LOTUS - the natural products occurrence database,An inositol,Q407997,Inositol,https://www.wikidata.org/wiki/Q407997,Natural Product,,,,,Q42562,Curcuma longa,https://www.wikidata.org/wiki/Q42562,Curcuma longa (turmeric),DOI:10.1002/BMC.1207,https://doi.org/10.1002/BMC.1207,,10.1002/BMC.1207,926305,516572213,,4063217,"Herebian D, Choi J, Abd El-Aty AM, Shim J, Spiteller M. Metabolite analysis in <i>Curcuma domestica</i> using various GC-MS and LC-MS separation and detection techniques. Biomedical Chromatography. 2009 Apr 08;23(9):951–65. doi: 10.1002/bmc.1207.",892,136217
,Natural Product Activity and Species Source (NPASS),Nicotinic Acid,NPC167400,Niacin,https://bidd.group/NPASS/compound.php?compoundID=NPC167400,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,927738|927738,516573646|516573646,,,,938,136217
,Natural Product Activity and Species Source (NPASS),Nicotinic Acid,NPC167400,Niacin,https://bidd.group/NPASS/compound.php?compoundID=NPC167400,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,927738|927738,516573646|516573646,,,,938,136217
